round	time	inputs	outputs	response
0	43.26070619	295	10	Keep the conversation simple and focus on the topic.
1	2.96385241	291	9	A great way to make life more enjoyable.
2	0.56430149	296	11	Giving each other room and respecting each other's opinions.
3	3.50063658	298	19	When you find yourself having to negotiate with others, consider how you would like to be treated.
4	7.03032112	293	12	You can see all of our locations by visiting our website.
5	11.94836259	299	6	I am in the brain.
6	10.73143029	296	11	Amazon, Zazzle, Gilt, or eBay
7	0.89323211	300	6	Stealing time to sleep.
8	1.54152894	312	8	Make an offer; bargain or accept.
9	14.42767453	290	7	How did you like the lecture?
10	3.18150878	293	13	Planning and setting up a party the day before or after.
11	2.09597754	293	17	You received a reward for your good behaviour. You may choose to keep the reward.
12	0.95256639	296	14	Improvise, be flexible, and engage in more challenging assignments.
13	25.10371256	294	22	If you’re going by car, you’ll arrive at your meeting room 15 minutes prior.
14	43.81589437	299	9	What are the benefits of netflix family?
15	0.48014331	299	8	Be clear on what you really want.
16	39.83684540	296	39	Get an excellent poker face, have a good relationship with a trusted confidant, and develop a relationship with the other party. Then be professional, be polite, and always stick to your guns.
17	16.90271568	307	10	Look at other options that may be less stressful.
18	10.48096013	294	9	I'm doing some work on my laptop.
19	4.28325891	299	11	Sorry, I don't understand what you're asking.
20	5.41501498	295	8	I just sent you a friend request.
21	43.01152134	296	7	Just read through the material thoroughly.
22	11.47057104	293	11	You know him. You think he's an idiot.
23	11.11874747	297	9	Think, be clear, and stay calm.
24	10.03394914	300	10	We sure hope they get the job, right?
25	2.08583188	296	8	Are you sure you want the first?
26	17.92048764	292	7	Be honest with yourself and others.
27	6.99426866	302	15	Not exactly sure what happened, but probably something to do with budget cuts.
28	42.39217114	291	9	I'm in Washington, D.C.
29	4.09002686	297	10	I have an idea that'll cheer u up!
30	0.81159019	298	17	Talk to your family about your financial problems, and figure out ways to solve them.
31	48.28511190	336	6	lily-oh-nine
32	0.63510108	291	12	Get to know a few of your partner's friends first.
33	42.75379658	295	25	Tell your spouse or partner what you need and expect. Do it in a way that doesn't set you up for failure.
34	44.04846764	302	6	I don't have it.
35	10.83670545	302	11	Ask him what he would like and act on it.
36	10.05904460	292	25	Check out our game if you want to give it a try. DA is a great way to make friends and have fun!
37	0.56497931	296	11	We're wired to be attracted to the wrong people.
38	42.09351730	292	13	You can become more persuasive by understanding the other person's perspective.
39	4.02781105	303	14	The key to negotiation is to be honest and clear from the start.
40	34.44950294	298	11	Let your landlord know you are ready to pay rent.
41	9.89838076	296	8	The following two options are both available:
42	10.48176098	327	45	Your trip is great and the connection is still working. The problem is the lack of bandwidth. We are doing fine here though and enjoying our holiday. Everything at home is good and our family is looking forward to seeing you.
43	42.67348266	295	7	I don't think I do.
44	43.83241868	303	6	Listen more than you speak.
45	2.87874436	299	17	You may not remember this, but you took my notebook home last time you visited.
46	1.39345908	294	3	A lot.
47	15.34286404	292	5	Nike, because...
