round	time	inputs	outputs	response
0	40.60389829	295	10	Keep the conversation simple and focus on the topic.
1	2.92176127	291	9	A great way to make life more enjoyable.
2	0.55855799	296	11	Giving each other room and respecting each other's opinions.
3	3.45328498	298	19	When you find yourself having to negotiate with others, consider how you would like to be treated.
4	6.93486524	293	12	You can see all of our locations by visiting our website.
5	11.85077262	299	6	I am in the brain.
6	10.64286923	296	11	Amazon, Zazzle, Gilt, or eBay
7	0.88658905	300	6	Stealing time to sleep.
8	1.52954125	312	8	Make an offer; bargain or accept.
9	14.26399875	290	7	How did you like the lecture?
10	3.13941145	293	13	Planning and setting up a party the day before or after.
11	2.06631184	293	17	You received a reward for your good behaviour. You may choose to keep the reward.
12	0.94048929	296	14	Improvise, be flexible, and engage in more challenging assignments.
13	24.97581196	294	22	If you’re going by car, you’ll arrive at your meeting room 15 minutes prior.
14	40.95597553	299	9	What are the benefits of netflix family?
15	0.46104646	299	8	Be clear on what you really want.
16	37.63891745	296	39	Get an excellent poker face, have a good relationship with a trusted confidant, and develop a relationship with the other party. Then be professional, be polite, and always stick to your guns.
17	16.83627939	307	10	Look at other options that may be less stressful.
18	10.43254304	294	9	I'm doing some work on my laptop.
19	4.24101496	299	11	Sorry, I don't understand what you're asking.
20	5.36112189	295	8	I just sent you a friend request.
21	40.28677082	296	7	Just read through the material thoroughly.
22	11.36384702	293	11	You know him. You think he's an idiot.
23	11.05605531	297	9	Think, be clear, and stay calm.
24	10.01276255	300	10	We sure hope they get the job, right?
25	2.06839514	296	8	Are you sure you want the first?
26	17.81872416	292	7	Be honest with yourself and others.
27	6.95404482	302	15	Not exactly sure what happened, but probably something to do with budget cuts.
28	41.23579311	291	9	I'm in Washington, D.C.
29	4.05300689	297	10	I have an idea that'll cheer u up!
30	0.80872107	298	17	Talk to your family about your financial problems, and figure out ways to solve them.
31	47.15479159	336	6	lily-oh-nine
32	0.61379409	291	12	Get to know a few of your partner's friends first.
33	40.15366507	295	25	Tell your spouse or partner what you need and expect. Do it in a way that doesn't set you up for failure.
34	43.64820099	302	6	I don't have it.
35	10.75774384	302	11	Ask him what he would like and act on it.
36	9.95306897	292	25	Check out our game if you want to give it a try. DA is a great way to make friends and have fun!
