round	time	inputs	outputs	response
0	39.56783152	295	10	Keep the conversation simple and focus on the topic.
1	2.85944963	291	9	A great way to make life more enjoyable.
2	0.54883814	296	11	Giving each other room and respecting each other's opinions.
3	3.39114022	298	19	When you find yourself having to negotiate with others, consider how you would like to be treated.
4	6.79579926	293	12	You can see all of our locations by visiting our website.
5	11.53697371	299	6	I am in the brain.
6	10.39896703	296	11	Amazon, Zazzle, Gilt, or eBay
7	0.86704898	300	6	Stealing time to sleep.
8	1.49417400	312	8	Make an offer; bargain or accept.
9	13.94287300	290	7	How did you like the lecture?
10	3.07532573	293	13	Planning and setting up a party the day before or after.
11	2.02167821	293	17	You received a reward for your good behaviour. You may choose to keep the reward.
12	0.92042136	296	14	Improvise, be flexible, and engage in more challenging assignments.
13	24.36034131	294	22	If you’re going by car, you’ll arrive at your meeting room 15 minutes prior.
14	47.50778437	299	9	What are the benefits of netflix family?
15	0.45203304	299	8	Be clear on what you really want.
16	37.40145707	296	39	Get an excellent poker face, have a good relationship with a trusted confidant, and develop a relationship with the other party. Then be professional, be polite, and always stick to your guns.
17	16.38342595	307	10	Look at other options that may be less stressful.
18	10.14887595	294	9	I'm doing some work on my laptop.
19	4.12513471	299	11	Sorry, I don't understand what you're asking.
20	5.22675776	295	8	I just sent you a friend request.
21	39.38943815	296	7	Just read through the material thoroughly.
22	11.05099750	293	11	You know him. You think he's an idiot.
23	10.76055813	297	9	Think, be clear, and stay calm.
24	9.76964068	300	10	We sure hope they get the job, right?
25	2.02286839	296	8	Are you sure you want the first?
26	17.32140064	292	7	Be honest with yourself and others.
27	6.75016809	302	15	Not exactly sure what happened, but probably something to do with budget cuts.
28	38.56267142	291	9	I'm in Washington, D.C.
29	3.94168687	297	10	I have an idea that'll cheer u up!
30	0.78681684	298	17	Talk to your family about your financial problems, and figure out ways to solve them.
31	43.44791842	336	6	lily-oh-nine
32	0.59949207	291	12	Get to know a few of your partner's friends first.
33	39.58760238	295	25	Tell your spouse or partner what you need and expect. Do it in a way that doesn't set you up for failure.
34	42.78678751	302	6	I don't have it.
35	10.49755812	302	11	Ask him what he would like and act on it.
36	9.69304395	292	25	Check out our game if you want to give it a try. DA is a great way to make friends and have fun!
37	0.54652929	296	11	We're wired to be attracted to the wrong people.
38	41.00280428	292	13	You can become more persuasive by understanding the other person's perspective.
39	3.89706087	303	14	The key to negotiation is to be honest and clear from the start.
40	32.38927770	298	11	Let your landlord know you are ready to pay rent.
41	9.54306364	296	8	The following two options are both available:
42	10.14644527	327	45	Your trip is great and the connection is still working. The problem is the lack of bandwidth. We are doing fine here though and enjoying our holiday. Everything at home is good and our family is looking forward to seeing you.
43	41.34850430	295	7	I don't think I do.
44	39.89013243	303	6	Listen more than you speak.
45	2.79006624	299	17	You may not remember this, but you took my notebook home last time you visited.
46	1.35416269	294	3	A lot.
47	15.65531349	292	5	Nike, because...
48	41.98541856	295	17	If you can't find what you are looking for, come to me and ask.
49	0.59277225	300	11	Don't go to bed too late or too early.
50	0.41344309	298	7	Keep your head in the game.
51	39.31245804	297	12	I don't like to gossip about others' personal lives.
52	40.03402257	294	22	Keep a record of what has been discussed, and be prepared to walk out if an agreement is not reached.
53	41.04128218	288	9	how r u? can i help u?
54	9.54573941	291	8	Yes, I'm doing just fine.
55	41.14908099	290	5	We should be friends.
56	42.26407528	293	14	Pink roses, yellow roses, and red roses are the most popular.
57	41.81162810	300	6	Thank you for your business.
58	0.59377670	299	11	Make a guest list, plan, and be prepared.
59	1.39042950	291	4	New York City.
60	38.11210799	292	9	Making clear requests and sticking to your guns.
