round	time	inputs	outputs	response
0	43.19890594	295	10	Keep the conversation simple and focus on the topic.
1	2.93568277	291	9	A great way to make life more enjoyable.
2	0.56012464	296	11	Giving each other room and respecting each other's opinions.
3	3.46119237	298	19	When you find yourself having to negotiate with others, consider how you would like to be treated.
4	6.96619368	293	12	You can see all of our locations by visiting our website.
5	11.82868075	299	6	I am in the brain.
6	10.56368184	296	11	Amazon, Zazzle, Gilt, or eBay
7	0.88272667	300	6	Stealing time to sleep.
8	1.52281070	312	8	Make an offer; bargain or accept.
9	14.25828123	290	7	How did you like the lecture?
10	3.15031934	293	13	Planning and setting up a party the day before or after.
11	2.06824780	293	17	You received a reward for your good behaviour. You may choose to keep the reward.
12	0.93935490	296	14	Improvise, be flexible, and engage in more challenging assignments.
13	24.86887693	294	22	If you’re going by car, you’ll arrive at your meeting room 15 minutes prior.
14	42.62634158	299	9	What are the benefits of netflix family?
15	0.54576349	299	8	Be clear on what you really want.
16	39.68846512	296	39	Get an excellent poker face, have a good relationship with a trusted confidant, and develop a relationship with the other party. Then be professional, be polite, and always stick to your guns.
17	17.95071507	307	10	Look at other options that may be less stressful.
18	10.43802214	294	9	I'm doing some work on my laptop.
19	4.22994065	299	11	Sorry, I don't understand what you're asking.
20	5.34998536	295	8	I just sent you a friend request.
21	42.94931841	296	7	Just read through the material thoroughly.
22	11.38850904	293	11	You know him. You think he's an idiot.
23	12.51258707	297	9	Think, be clear, and stay calm.
24	10.71818948	300	10	We sure hope they get the job, right?
25	2.06284571	296	8	Are you sure you want the first?
26	17.74564505	292	7	Be honest with yourself and others.
27	8.20886922	302	15	Not exactly sure what happened, but probably something to do with budget cuts.
28	41.78276205	291	9	I'm in Washington, D.C.
29	4.80399823	297	10	I have an idea that'll cheer u up!
30	0.80789232	298	17	Talk to your family about your financial problems, and figure out ways to solve them.
31	46.11435556	336	6	lily-oh-nine
32	0.62485433	291	12	Get to know a few of your partner's friends first.
33	41.42611217	295	25	Tell your spouse or partner what you need and expect. Do it in a way that doesn't set you up for failure.
34	43.98064518	302	6	I don't have it.
35	11.34229517	302	11	Ask him what he would like and act on it.
36	9.96811342	292	25	Check out our game if you want to give it a try. DA is a great way to make friends and have fun!
37	0.55875039	296	11	We're wired to be attracted to the wrong people.
38	40.96480441	292	13	You can become more persuasive by understanding the other person's perspective.
39	3.96488595	303	14	The key to negotiation is to be honest and clear from the start.
40	33.09375882	298	11	Let your landlord know you are ready to pay rent.
41	9.87761641	296	8	The following two options are both available:
42	10.38579154	327	45	Your trip is great and the connection is still working. The problem is the lack of bandwidth. We are doing fine here though and enjoying our holiday. Everything at home is good and our family is looking forward to seeing you.
43	40.18802762	295	7	I don't think I do.
44	41.63893199	303	6	Listen more than you speak.
45	2.85382986	299	17	You may not remember this, but you took my notebook home last time you visited.
46	1.37958336	294	3	A lot.
47	15.16125178	292	5	Nike, because...
48	40.41812325	295	17	If you can't find what you are looking for, come to me and ask.
49	0.57514668	300	11	Don't go to bed too late or too early.
50	0.42087150	298	7	Keep your head in the game.
51	40.14442921	297	12	I don't like to gossip about others' personal lives.
52	40.92347479	294	22	Keep a record of what has been discussed, and be prepared to walk out if an agreement is not reached.
53	42.06022382	288	9	how r u? can i help u?
54	10.35496879	291	8	Yes, I'm doing just fine.
55	43.41111422	290	5	We should be friends.
56	43.17541170	293	14	Pink roses, yellow roses, and red roses are the most popular.
57	43.82679224	300	6	Thank you for your business.
58	0.57201195	299	11	Make a guest list, plan, and be prepared.
59	1.34393167	291	4	New York City.
60	39.41504836	292	9	Making clear requests and sticking to your guns.
61	2.61589193	292	24	A thorough analysis of the situation, taking into account the other party’s needs and desires, will be critical.
62	43.03045011	292	8	How can I approach a new customer?
63	19.63358140	296	4	Have a backup.
64	45.71191287	307	30	I am very enthusiastic about the concept of Food Evening. I would love to involve more people and develop plans for them. Do you have any suggestions?
65	41.79408431	290	12	Just got back in, and I'm feeling tired already.
66	11.52872992	291	16	Don't get stuck in the past, keep the channel open for new opportunities.
67	1.11639524	301	8	Negotiate in a friendly manner.
68	40.53168106	297	9	I’m good thanks, yourself?
69	4.17831445	292	18	Being prepared, understanding the other person's interests, building and maintaining relationships, and listening.
70	1.78673410	303	34	Negotiation can only happen with good listening skills; if you have a good idea, it's always a good thing - even if you don't agree on every point.
71	1.51751614	296	8	How can I stop procrastinating?
72	44.81008816	303	15	How can I take time to relax and be a well-rounded person?
73	14.28556681	300	14	What? I just asked if you're going out after work tonight.
74	43.60466647	303	11	Kids means more responsibility, time, and maintenance costs.
75	42.64856339	295	10	Be optimistic, be careful, and be prepared.
76	4.98297000	306	15	Be prepared and be well-prepared when meeting a potential business partner.
77	42.94572592	298	6	Ask for what you want.
78	42.49199271	291	9	How would you like your brain to be?
79	45.08972454	297	8	How can I deal with stressful situations?
80	0.59369469	294	9	Don't be afraid to take a chance.
81	3.71696019	288	10	How can I meet lots of cool new people?
82	1.77567244	295	10	The Brain is the size of the tip of your
83	9.69483232	292	7	We are not interested in humans.
84	0.45995975	297	6	A book on time management.
85	42.04090881	294	19	Consider the features you need for your device, such as size, connectivity, and battery life.
86	42.61952567	297	10	Plan ahead and be open to the many possibilities.
87	22.55694199	292	4	I am working.
88	44.39007258	308	17	Make sure you have all the facts and figures on your side before entering a negotiation.
89	40.13404489	300	5	I'll be there.
90	13.81758475	296	17	Ask for what you're looking for, and make sure to have a backup plan.
91	17.94603157	292	11	Well...It's cold, and I'm hungry.
92	35.96753931	296	15	I'm fine. Is there anything else you'd like to talk about?
93	1.38139391	298	17	No, I am not in Asda. I sell software services to other businesses.
94	42.46456337	299	12	Have the right tools, prepare, negotiate, and listen.
95	0.45993400	301	8	Pick a day and see it through.
96	9.58112931	293	29	I know you have a job to do, so I won’t hold it against you if you can’t answer my question.
97	41.86480188	296	9	Never... well, except the old ways.
98	39.71856070	297	18	Negotiation is a part of every day life, and requires patience and a positive attitude.
99	24.56620288	295	13	What was it exactly? I will need time to process this.
100	41.94167495	301	10	It's not possible to skype with you.
101	41.42194772	291	7	Taking a business approach to negotiation.
102	42.57024384	299	5	3:30AM.
103	41.41219044	295	8	I did. I saw a mouse.
104	40.32588530	287	8	A strong sense of self-awareness.
105	0.72961473	301	14	You're going to be spending a lot of time with your family.
106	1.23220444	290	12	Ask for exactly what you need in the most polite manner.
107	41.87687445	291	15	I'm working, but I'd like you to relax with a friend.
108	40.54400086	292	15	[  No, I don't know anything about going swimming, I'll
109	0.73185420	302	14	No way. You're the one who voted for this fucking guy.
110	9.01814795	297	5	You're so high.
111	20.67443419	296	12	School counselors are responsible for the safety of the whole school.
112	4.32050490	290	29	You should be nice, friendly, and open to all sorts of different viewpoints. To get the most out of this, be a good listener.
113	41.21871042	297	8	A cake, card, and present.
114	8.61585855	294	3	i'm bored
115	9.88454247	294	18	Cleaning the house is something that should be done, regardless of how busy one is.
116	45.07972169	305	5	I'm up for it
117	43.07152891	292	11	Being honest, being prepared, and showing good manners.
118	0.91005063	296	20	I don't want to be rude. I know that all of you live in the same neighborhood.
119	22.87224913	294	11	I am Sandra Donovan from BRAIN-Tec.
120	12.60469151	299	3	Can't go
121	10.16229177	298	27	That's very kind. This is Dr. Brain. I'm your host, and I'm here to give you a little help.
122	22.96686411	295	23	I'm really sorry to hear that, but I hope the rest of your day is less hectic than today.
123	2.89058590	292	12	Be patient. It's a skill that can be learned.
124	39.87611604	291	9	Taking a personal approach and being assertive.
125	20.92718697	288	1	Hey
126	0.73033738	298	14	Being passionate, having a plan, and always having an exit strategy.
127	42.59419203	294	11	Go if you have a good attitude and enjoy yourself.
128	42.20798326	299	8	I think that should be a priority.
129	0.45175862	293	6	Plan ahead and be prepared.
130	9.38947892	295	212	If it's worth it, put in the effort. I think the best thing to do in this situation is to not only take a deep breath, but also be ready and willing to walk away from the audition if you're not comfortable with the process. And this would be especially true if you're auditioning in front of someone you find intimidating or not very familiar with. I've been told by an auditioner that this is the most difficult part of the audition process for him. The other advice I would give here is to treat yourself the way you would want to be treated. If you feel nervous or intimidated, don't allow it to dictate your actions. Go in and do your best, no matter how bad it is. If it improves, great. If it doesn't, don't get too down on yourself. I have a friend who, if her first audition didn't go well, would get in her car and drive off crying. You can imagine how that would end up for her on the side of the highway or in a ditch.
131	11.37325764	295	9	Spending quality time with friends and family.
132	0.28846788	288	4	Are you okay?
133	4.21267200	298	29	We suggest starting with the customer by saying something like, “Welcome to Brain Doctors. I’m pleased to meet you.”
134	40.90862203	301	15	We will start next week, so I have not set the slot yet.
135	17.88028812	297	13	No. When we have, I'll get back to you.
136	43.53990865	305	16	Please leave a message or call if there is anything we can help you with.
137	0.59539819	299	9	Thank you. Your reward will be soon.
138	19.35305500	294	9	Follow up to any follow-up questions.
139	5.05561590	292	6	Take a break and relax.
140	3.93389535	293	6	Wake up on time.
141	3.97264361	292	13	Avoiding confrontations and accepting constructive criticism can improve team communication.
142	31.15759277	294	15	Yeah, this is the BRAIN. How can I solve your problem?
143	42.32727027	296	14	Do you see the difference between "dog" and "walked"?
144	17.13712430	297	11	What are some ways we might be able to communicate?
145	9.29302335	292	7	I am having a great day!
146	27.26311731	300	3	Sounds good!
147	42.25952387	295	5	Why do you ask?
148	0.61542630	289	12	Make sure you are comfortable with yourself before asking for anything.
149	1.11480045	297	10	Visit http://www.braincafe.it
150	0.77190995	298	5	We will be here.
151	39.53199172	292	13	I don't know... but I do know that we're working
152	0.61611724	325	11	Sorry, we have closed the call. Thank you.
153	44.34772849	309	24	I'm currently working. I have a lot of things to do. I'm not sure if I can do it.
154	41.53367805	289	11	Be prepared and understand your opponent's point of view.
155	17.93852305	296	4	What is it?
156	42.17907023	292	15	Practice first, get feedback, and get it all down on paper.
157	43.31638408	300	14	Be confident and never give in to someone who has control over you.
158	9.48645401	301	10	Nicky? Yeah, she was having sex with
159	40.81774259	292	5	Taking a new approach.
160	8.66018510	299	12	This is a personal message from your favorite website and we are
161	2.72984719	302	8	No bouncy castles in the hall.
162	10.11964464	299	11	You must first determine if you are looking for something.
163	10.41057253	291	2	Yes.
164	1.07623029	314	7	Keep your cool and be diplomatic.
165	0.64860749	290	7	Thanks. I love you to!
166	0.30526137	300	4	Incoming messages!
167	0.38174605	295	6	Start early and be prepared.
168	4.89825034	296	7	Imagine Dragons are coming to us!
169	51.46771836	361	50	The car did not appear to be at fault so there is little point having it checked. Can you describe the display message? Do you have your contract with a mechanic who services the cars on your car? I will add this information to the database.
170	1.23858619	304	22	I have no such plans. But if you and your parents want to visit me, let just me know.
171	1.96182156	289	12	There is a certain etiquette when having a discussion about money.
172	43.66958046	300	14	I'll be glad to help. What would you like from me?
173	3.68916988	297	8	This time and effort will help others.
174	30.63396716	296	13	Negate any negative images that you have about a particular field.
175	41.96482253	298	11	Have you heard the new 30 Seconds to Mars album?
176	1.42587423	290	14	I'm afraid I must insist that you put down that cell phone.
177	11.13808513	301	17	"The one who is least likely to succeed is the one who says he will."
178	41.01087189	292	11	Negotiation is the most important thing in any business.
179	0.88259006	293	19	Take a break from work every so often and spend quality time with the people you care about.
180	0.57454896	294	11	I am not sure. I will let you know.
181	39.39236403	292	12	Having a clear goal in mind before you begin your negotiation.
182	11.57588935	310	4	Yes we know :)
183	0.34249663	292	5	Avoiding power plays.
184	17.19309759	288	2	Hello!
185	0.38326907	295	6	Are you familiar with it?
186	14.36884904	296	10	A tattoo is a great way to express yourself.
187	2.58517241	296	12	I’ll need to use the downstairs toilet first.
188	0.65033484	298	9	In some countries traffic is on the right.
189	40.31278086	292	10	How to improve your interpersonal skills and relationship skills.
190	46.81156445	313	19	When I found the task is not interesting for me I will not be able to complete it.
191	1.97020197	294	9	Responding to messages in a timely manner.
192	0.68649721	291	11	We can work together to solve problems and grow together.
193	0.95469904	296	16	We all are the creators of our own happiness. We can do it! :)
194	17.02816582	297	5	Let me see it.
195	44.35332203	306	5	Take time to research.
196	41.89058280	292	9	I hear you. I hate her too.
197	45.36504865	331	8	Have a vegetarian/vegan option.
198	0.57966137	295	10	Are you referring to some time in the future?
199	5.34546185	291	3	Have courage.
200	41.82261252	291	13	We are available 24/7. What problem are you experiencing?
201	5.43433809	295	14	I don't know, why don't you go and find out?
202	43.11701560	308	17	Merry Christmas! Wishing you and Elena the very best for the holiday season!
203	0.38209987	295	6	He was a great date.
204	43.56541061	293	9	It’s just not that easy.
205	0.57658482	289	10	Why did you choose to look up this question?
206	30.81909823	296	5	Going out to eat.
207	0.38174939	290	1	hi
208	44.77755642	329	6	Start creating your own business!
209	34.30862021	292	9	Learning to listen, and being open minded.
210	38.07312179	294	11	No, I don't think that will help me.
211	3.61952758	295	8	We are. We are at the university
212	36.36518550	292	9	You have to think like the other person.
213	2.35284305	298	16	You've been here less than a month! Are you really back for good?
214	35.15464258	295	4	Do it today!
215	44.01267767	301	11	Top of the Pops. What the...?!?
216	0.54517674	298	7	Remembering what it was like...
217	42.94910836	296	1	no
218	41.86670661	292	12	Spend some time away from your desk to rejuvenate.
219	43.55486465	307	6	Photo shop doesn't lie.
220	19.41736579	298	11	What is your name? How may I help you?
221	39.47097349	292	7	You’re drinking coffee.
222	15.32908583	293	8	Prepare thoroughly—and be positive.
223	28.79924488	295	17	Make a written list of the things you want/need and then negotiate on price.
224	0.57167363	293	11	Don’t forget to take care of yourself.
225	8.45086026	292	7	Try to work on resolving differences.
226	54.33743763	296	3	Be prepared.
227	7.31532311	293	5	Think before you type.
228	1.80299020	294	11	a glass of champagne or a nice scotch?
229	14.05386066	296	5	Stay calm and rational.
