round	time	inputs	outputs	response
0	43.26829624	295	10	Keep the conversation simple and focus on the topic.
1	2.96659040	291	9	A great way to make life more enjoyable.
2	0.56302428	296	11	Giving each other room and respecting each other's opinions.
3	3.50032091	298	19	When you find yourself having to negotiate with others, consider how you would like to be treated.
4	7.04297352	293	12	You can see all of our locations by visiting our website.
5	11.95754433	299	6	I am in the brain.
6	10.60353088	296	11	Amazon, Zazzle, Gilt, or eBay
7	0.88937426	300	6	Stealing time to sleep.
8	1.53549051	312	8	Make an offer; bargain or accept.
9	14.34676671	290	7	How did you like the lecture?
10	3.17694640	293	13	Planning and setting up a party the day before or after.
11	2.08973193	293	17	You received a reward for your good behaviour. You may choose to keep the reward.
12	0.94996071	296	14	Improvise, be flexible, and engage in more challenging assignments.
13	25.04195070	294	22	If you’re going by car, you’ll arrive at your meeting room 15 minutes prior.
14	41.53969312	299	9	What are the benefits of netflix family?
15	0.46066952	299	8	Be clear on what you really want.
16	38.54272032	296	39	Get an excellent poker face, have a good relationship with a trusted confidant, and develop a relationship with the other party. Then be professional, be polite, and always stick to your guns.
17	17.97246480	307	10	Look at other options that may be less stressful.
18	11.21982455	294	9	I'm doing some work on my laptop.
19	4.27301145	299	11	Sorry, I don't understand what you're asking.
20	5.40361547	295	8	I just sent you a friend request.
21	43.28953886	296	7	Just read through the material thoroughly.
22	12.29435730	293	11	You know him. You think he's an idiot.
23	11.73336124	297	9	Think, be clear, and stay calm.
24	10.37021637	300	10	We sure hope they get the job, right?
25	2.07392645	296	8	Are you sure you want the first?
26	19.01612520	292	7	Be honest with yourself and others.
27	7.00913215	302	15	Not exactly sure what happened, but probably something to do with budget cuts.
28	42.79987502	291	9	I'm in Washington, D.C.
29	4.35665441	297	10	I have an idea that'll cheer u up!
30	0.81301665	298	17	Talk to your family about your financial problems, and figure out ways to solve them.
31	48.80498314	336	6	lily-oh-nine
32	0.66681218	291	12	Get to know a few of your partner's friends first.
33	44.30242372	295	25	Tell your spouse or partner what you need and expect. Do it in a way that doesn't set you up for failure.
34	45.38914514	302	6	I don't have it.
35	11.55188107	302	11	Ask him what he would like and act on it.
36	10.62911367	292	25	Check out our game if you want to give it a try. DA is a great way to make friends and have fun!
37	0.56366110	296	11	We're wired to be attracted to the wrong people.
38	42.51588869	292	13	You can become more persuasive by understanding the other person's perspective.
39	4.30158448	303	14	The key to negotiation is to be honest and clear from the start.
40	34.60375023	298	11	Let your landlord know you are ready to pay rent.
41	9.90495205	296	8	The following two options are both available:
42	10.48825598	327	45	Your trip is great and the connection is still working. The problem is the lack of bandwidth. We are doing fine here though and enjoying our holiday. Everything at home is good and our family is looking forward to seeing you.
43	42.57610893	295	7	I don't think I do.
44	44.69019771	303	6	Listen more than you speak.
45	2.89238930	299	17	You may not remember this, but you took my notebook home last time you visited.
46	1.39723444	294	3	A lot.
47	15.32364130	292	5	Nike, because...
48	44.30585217	295	17	If you can't find what you are looking for, come to me and ask.
49	0.59756589	300	11	Don't go to bed too late or too early.
50	0.42421579	298	7	Keep your head in the game.
51	43.13274479	297	12	I don't like to gossip about others' personal lives.
52	43.20082760	294	22	Keep a record of what has been discussed, and be prepared to walk out if an agreement is not reached.
53	42.69102573	288	9	how r u? can i help u?
54	10.47957587	291	8	Yes, I'm doing just fine.
55	42.77419519	290	5	We should be friends.
56	43.65348268	293	14	Pink roses, yellow roses, and red roses are the most popular.
57	45.17902374	300	6	Thank you for your business.
58	0.59827709	299	11	Make a guest list, plan, and be prepared.
59	1.35724854	291	4	New York City.
60	39.02589822	292	9	Making clear requests and sticking to your guns.
61	2.64212298	292	24	A thorough analysis of the situation, taking into account the other party’s needs and desires, will be critical.
62	43.48083544	292	8	How can I approach a new customer?
63	19.13197756	296	4	Have a backup.
64	46.53235841	307	30	I am very enthusiastic about the concept of Food Evening. I would love to involve more people and develop plans for them. Do you have any suggestions?
65	44.05113125	290	12	Just got back in, and I'm feeling tired already.
66	11.64205384	291	16	Don't get stuck in the past, keep the channel open for new opportunities.
67	1.12520862	301	8	Negotiate in a friendly manner.
68	43.71134400	297	9	I’m good thanks, yourself?
69	3.66115785	292	18	Being prepared, understanding the other person's interests, building and maintaining relationships, and listening.
70	1.47550130	303	34	Negotiation can only happen with good listening skills; if you have a good idea, it's always a good thing - even if you don't agree on every point.
71	1.38045740	296	8	How can I stop procrastinating?
72	42.08000708	303	15	How can I take time to relax and be a well-rounded person?
73	15.11607885	300	14	What? I just asked if you're going out after work tonight.
74	41.72144485	303	11	Kids means more responsibility, time, and maintenance costs.
75	39.76697612	295	10	Be optimistic, be careful, and be prepared.
76	5.34758973	306	15	Be prepared and be well-prepared when meeting a potential business partner.
77	45.35347390	298	6	Ask for what you want.
78	42.23965073	291	9	How would you like your brain to be?
79	42.59043574	297	8	How can I deal with stressful situations?
80	0.52126384	294	9	Don't be afraid to take a chance.
81	3.29164028	288	10	How can I meet lots of cool new people?
82	1.90240073	295	10	The Brain is the size of the tip of your
83	10.41445065	292	7	We are not interested in humans.
84	0.48825622	297	6	A book on time management.
85	44.33945632	294	19	Consider the features you need for your device, such as size, connectivity, and battery life.
86	44.76916265	297	10	Plan ahead and be open to the many possibilities.
87	20.95437765	292	4	I am working.
88	43.63133144	308	17	Make sure you have all the facts and figures on your side before entering a negotiation.
89	42.61993670	300	5	I'll be there.
90	14.90405083	296	17	Ask for what you're looking for, and make sure to have a backup plan.
91	15.82608819	292	11	Well...It's cold, and I'm hungry.
92	38.18352652	296	15	I'm fine. Is there anything else you'd like to talk about?
93	1.40061831	298	17	No, I am not in Asda. I sell software services to other businesses.
94	40.77492285	299	12	Have the right tools, prepare, negotiate, and listen.
95	0.46400547	301	8	Pick a day and see it through.
96	9.29243064	293	29	I know you have a job to do, so I won’t hold it against you if you can’t answer my question.
97	42.16623616	296	9	Never... well, except the old ways.
98	43.57816982	297	18	Negotiation is a part of every day life, and requires patience and a positive attitude.
99	25.59558296	295	13	What was it exactly? I will need time to process this.
100	42.73806643	301	10	It's not possible to skype with you.
101	42.18869233	291	7	Taking a business approach to negotiation.
102	43.20294046	299	5	3:30AM.
103	42.93417859	295	8	I did. I saw a mouse.
104	41.86168885	287	8	A strong sense of self-awareness.
105	0.89014196	301	14	You're going to be spending a lot of time with your family.
106	1.51439190	290	12	Ask for exactly what you need in the most polite manner.
107	42.00905919	291	15	I'm working, but I'd like you to relax with a friend.
108	44.20347404	292	15	[  No, I don't know anything about going swimming, I'll
109	0.73714638	302	14	No way. You're the one who voted for this fucking guy.
110	9.11065793	297	5	You're so high.
111	20.09461093	296	12	School counselors are responsible for the safety of the whole school.
112	4.37290645	290	29	You should be nice, friendly, and open to all sorts of different viewpoints. To get the most out of this, be a good listener.
113	43.11573410	297	8	A cake, card, and present.
114	8.69178891	294	3	i'm bored
115	9.97006059	294	18	Cleaning the house is something that should be done, regardless of how busy one is.
116	46.70094037	305	5	I'm up for it
117	42.10554338	292	11	Being honest, being prepared, and showing good manners.
118	0.91540933	296	20	I don't want to be rude. I know that all of you live in the same neighborhood.
119	22.47662544	294	11	I am Sandra Donovan from BRAIN-Tec.
120	10.68608236	299	3	Can't go
121	10.22775960	298	27	That's very kind. This is Dr. Brain. I'm your host, and I'm here to give you a little help.
122	21.80920100	295	23	I'm really sorry to hear that, but I hope the rest of your day is less hectic than today.
123	2.37295008	292	12	Be patient. It's a skill that can be learned.
124	40.37625527	291	9	Taking a personal approach and being assertive.
125	20.08954334	288	1	Hey
126	0.73398757	298	14	Being passionate, having a plan, and always having an exit strategy.
127	41.21642256	294	11	Go if you have a good attitude and enjoy yourself.
128	41.62439632	299	8	I think that should be a priority.
129	0.38563347	293	6	Plan ahead and be prepared.
130	8.45945930	295	212	If it's worth it, put in the effort. I think the best thing to do in this situation is to not only take a deep breath, but also be ready and willing to walk away from the audition if you're not comfortable with the process. And this would be especially true if you're auditioning in front of someone you find intimidating or not very familiar with. I've been told by an auditioner that this is the most difficult part of the audition process for him. The other advice I would give here is to treat yourself the way you would want to be treated. If you feel nervous or intimidated, don't allow it to dictate your actions. Go in and do your best, no matter how bad it is. If it improves, great. If it doesn't, don't get too down on yourself. I have a friend who, if her first audition didn't go well, would get in her car and drive off crying. You can imagine how that would end up for her on the side of the highway or in a ditch.
131	11.35430932	295	9	Spending quality time with friends and family.
132	0.29125333	288	4	Are you okay?
133	4.22183919	298	29	We suggest starting with the customer by saying something like, “Welcome to Brain Doctors. I’m pleased to meet you.”
134	41.62661195	301	15	We will start next week, so I have not set the slot yet.
135	16.61989427	297	13	No. When we have, I'll get back to you.
136	44.05731535	305	16	Please leave a message or call if there is anything we can help you with.
137	0.50339890	299	9	Thank you. Your reward will be soon.
138	17.28592944	294	9	Follow up to any follow-up questions.
139	5.10908890	292	6	Take a break and relax.
140	3.97472453	293	6	Wake up on time.
141	4.01156998	292	13	Avoiding confrontations and accepting constructive criticism can improve team communication.
142	31.61925697	294	15	Yeah, this is the BRAIN. How can I solve your problem?
143	45.43404961	296	14	Do you see the difference between "dog" and "walked"?
144	18.64017344	297	11	What are some ways we might be able to communicate?
145	8.33061838	292	7	I am having a great day!
146	26.77471709	300	3	Sounds good!
147	42.49892545	295	5	Why do you ask?
148	0.74425340	289	12	Make sure you are comfortable with yourself before asking for anything.
149	1.36706591	297	10	Visit http://www.braincafe.it
150	0.93565893	298	5	We will be here.
151	42.67097545	292	13	I don't know... but I do know that we're working
152	0.75182772	325	11	Sorry, we have closed the call. Thank you.
153	45.88092589	309	24	I'm currently working. I have a lot of things to do. I'm not sure if I can do it.
154	42.30152917	289	11	Be prepared and understand your opponent's point of view.
155	18.09620738	296	4	What is it?
156	43.57798386	292	15	Practice first, get feedback, and get it all down on paper.
157	43.68337250	300	14	Be confident and never give in to someone who has control over you.
158	7.78318334	301	10	Nicky? Yeah, she was having sex with
159	42.03275013	292	5	Taking a new approach.
160	9.77936459	299	12	This is a personal message from your favorite website and we are
161	2.76846838	302	8	No bouncy castles in the hall.
162	10.22727871	299	11	You must first determine if you are looking for something.
163	10.52408576	291	2	Yes.
164	1.09011793	314	7	Keep your cool and be diplomatic.
165	0.65918350	290	7	Thanks. I love you to!
166	0.30946994	300	4	Incoming messages!
167	0.38662386	295	6	Start early and be prepared.
168	5.75934076	296	7	Imagine Dragons are coming to us!
169	53.72063661	361	50	The car did not appear to be at fault so there is little point having it checked. Can you describe the display message? Do you have your contract with a mechanic who services the cars on your car? I will add this information to the database.
170	1.25659609	304	22	I have no such plans. But if you and your parents want to visit me, let just me know.
171	1.99123025	289	12	There is a certain etiquette when having a discussion about money.
172	44.27533054	300	14	I'll be glad to help. What would you like from me?
173	4.50215244	297	8	This time and effort will help others.
174	29.09157705	296	13	Negate any negative images that you have about a particular field.
175	44.47159982	298	11	Have you heard the new 30 Seconds to Mars album?
176	1.43906736	290	14	I'm afraid I must insist that you put down that cell phone.
177	12.14792085	301	17	"The one who is least likely to succeed is the one who says he will."
178	41.74111438	292	11	Negotiation is the most important thing in any business.
179	0.89293623	293	19	Take a break from work every so often and spend quality time with the people you care about.
180	0.58184886	294	11	I am not sure. I will let you know.
181	43.55062628	292	12	Having a clear goal in mind before you begin your negotiation.
182	11.77322626	310	4	Yes we know :)
183	0.34831214	292	5	Avoiding power plays.
184	17.87588286	288	2	Hello!
185	0.45640779	295	6	Are you familiar with it?
186	16.02636313	296	10	A tattoo is a great way to express yourself.
187	2.50712800	296	12	I’ll need to use the downstairs toilet first.
188	0.65870714	298	9	In some countries traffic is on the right.
189	42.03805304	292	10	How to improve your interpersonal skills and relationship skills.
190	44.52559137	313	19	When I found the task is not interesting for me I will not be able to complete it.
191	1.62870574	294	9	Responding to messages in a timely manner.
192	0.58038831	291	11	We can work together to solve problems and grow together.
193	0.79908872	296	16	We all are the creators of our own happiness. We can do it! :)
194	18.67224693	297	5	Let me see it.
195	45.86482382	306	5	Take time to research.
196	42.61437702	292	9	I hear you. I hate her too.
197	48.86333442	331	8	Have a vegetarian/vegan option.
198	0.58126140	295	10	Are you referring to some time in the future?
199	5.38248491	291	3	Have courage.
200	43.03469157	291	13	We are available 24/7. What problem are you experiencing?
201	5.22235656	295	14	I don't know, why don't you go and find out?
202	44.49745631	308	17	Merry Christmas! Wishing you and Elena the very best for the holiday season!
