round	time	inputs	outputs	response
0	43.99050951	295	10	Keep the conversation simple and focus on the topic.
1	3.16185164	291	9	A great way to make life more enjoyable.
2	0.56532526	296	11	Giving each other room and respecting each other's opinions.
3	3.51274538	298	19	When you find yourself having to negotiate with others, consider how you would like to be treated.
4	7.06509614	293	12	You can see all of our locations by visiting our website.
5	12.05635500	299	6	I am in the brain.
6	11.20932460	296	11	Amazon, Zazzle, Gilt, or eBay
7	0.89317417	300	6	Stealing time to sleep.
8	1.54651117	312	8	Make an offer; bargain or accept.
9	14.49172974	290	7	How did you like the lecture?
10	3.19532657	293	13	Planning and setting up a party the day before or after.
11	2.10194278	293	17	You received a reward for your good behaviour. You may choose to keep the reward.
12	0.95577550	296	14	Improvise, be flexible, and engage in more challenging assignments.
13	25.78152347	294	22	If you’re going by car, you’ll arrive at your meeting room 15 minutes prior.
14	42.18993211	299	9	What are the benefits of netflix family?
15	0.46439958	299	8	Be clear on what you really want.
16	41.86286569	296	39	Get an excellent poker face, have a good relationship with a trusted confidant, and develop a relationship with the other party. Then be professional, be polite, and always stick to your guns.
17	18.16598320	307	10	Look at other options that may be less stressful.
18	10.99125004	294	9	I'm doing some work on my laptop.
19	4.27337146	299	11	Sorry, I don't understand what you're asking.
20	5.42305350	295	8	I just sent you a friend request.
21	43.31039834	296	7	Just read through the material thoroughly.
22	11.51168418	293	11	You know him. You think he's an idiot.
23	11.17646527	297	9	Think, be clear, and stay calm.
24	10.15153456	300	10	We sure hope they get the job, right?
25	2.08819914	296	8	Are you sure you want the first?
26	17.99031711	292	7	Be honest with yourself and others.
27	7.04324555	302	15	Not exactly sure what happened, but probably something to do with budget cuts.
28	39.99296713	291	9	I'm in Washington, D.C.
29	4.09932256	297	10	I have an idea that'll cheer u up!
30	0.81631398	298	17	Talk to your family about your financial problems, and figure out ways to solve them.
31	45.06039619	336	6	lily-oh-nine
32	0.61659288	291	12	Get to know a few of your partner's friends first.
