round	time	inputs	outputs	response
0	43.37195873	295	10	Keep the conversation simple and focus on the topic.
1	2.96658945	291	9	A great way to make life more enjoyable.
2	0.56177211	296	11	Giving each other room and respecting each other's opinions.
3	3.49854541	298	19	When you find yourself having to negotiate with others, consider how you would like to be treated.
4	7.04497576	293	12	You can see all of our locations by visiting our website.
5	11.95518494	299	6	I am in the brain.
6	10.66827750	296	11	Amazon, Zazzle, Gilt, or eBay
7	0.88637805	300	6	Stealing time to sleep.
8	1.52958751	312	8	Make an offer; bargain or accept.
9	14.44779229	290	7	How did you like the lecture?
10	3.23480201	293	13	Planning and setting up a party the day before or after.
11	2.09032416	293	17	You received a reward for your good behaviour. You may choose to keep the reward.
12	0.95080495	296	14	Improvise, be flexible, and engage in more challenging assignments.
13	25.26721597	294	22	If you’re going by car, you’ll arrive at your meeting room 15 minutes prior.
14	44.11256862	299	9	What are the benefits of netflix family?
15	0.48210716	299	8	Be clear on what you really want.
16	37.84558558	296	39	Get an excellent poker face, have a good relationship with a trusted confidant, and develop a relationship with the other party. Then be professional, be polite, and always stick to your guns.
17	17.06927967	307	10	Look at other options that may be less stressful.
18	10.75640035	294	9	I'm doing some work on my laptop.
19	4.25153875	299	11	Sorry, I don't understand what you're asking.
20	5.36908865	295	8	I just sent you a friend request.
21	42.68629980	296	7	Just read through the material thoroughly.
22	11.46433282	293	11	You know him. You think he's an idiot.
23	11.15166926	297	9	Think, be clear, and stay calm.
24	10.07779312	300	10	We sure hope they get the job, right?
25	2.08449960	296	8	Are you sure you want the first?
26	17.87519407	292	7	Be honest with yourself and others.
27	6.96199346	302	15	Not exactly sure what happened, but probably something to do with budget cuts.
28	41.43017697	291	9	I'm in Washington, D.C.
29	4.99302292	297	10	I have an idea that'll cheer u up!
30	0.84730792	298	17	Talk to your family about your financial problems, and figure out ways to solve them.
31	47.17165351	336	6	lily-oh-nine
32	0.61696529	291	12	Get to know a few of your partner's friends first.
33	42.25963378	295	25	Tell your spouse or partner what you need and expect. Do it in a way that doesn't set you up for failure.
34	43.13266134	302	6	I don't have it.
35	11.28466344	302	11	Ask him what he would like and act on it.
36	10.03986835	292	25	Check out our game if you want to give it a try. DA is a great way to make friends and have fun!
37	0.56351852	296	11	We're wired to be attracted to the wrong people.
38	42.06200910	292	13	You can become more persuasive by understanding the other person's perspective.
39	3.99698114	303	14	The key to negotiation is to be honest and clear from the start.
