round	time	inputs	outputs	response
0	43.22887588	295	10	Keep the conversation simple and focus on the topic.
1	2.94121504	291	9	A great way to make life more enjoyable.
2	0.56197000	296	11	Giving each other room and respecting each other's opinions.
3	3.49331141	298	19	When you find yourself having to negotiate with others, consider how you would like to be treated.
4	7.02547288	293	12	You can see all of our locations by visiting our website.
5	11.91337466	299	6	I am in the brain.
6	10.65150476	296	11	Amazon, Zazzle, Gilt, or eBay
7	0.88249397	300	6	Stealing time to sleep.
8	1.52784824	312	8	Make an offer; bargain or accept.
9	14.40951920	290	7	How did you like the lecture?
10	3.17425084	293	13	Planning and setting up a party the day before or after.
11	2.08786011	293	17	You received a reward for your good behaviour. You may choose to keep the reward.
12	0.94878674	296	14	Improvise, be flexible, and engage in more challenging assignments.
13	25.07467246	294	22	If you’re going by car, you’ll arrive at your meeting room 15 minutes prior.
14	41.24453759	299	9	What are the benefits of netflix family?
15	0.46145940	299	8	Be clear on what you really want.
16	38.66087890	296	39	Get an excellent poker face, have a good relationship with a trusted confidant, and develop a relationship with the other party. Then be professional, be polite, and always stick to your guns.
17	16.81889176	307	10	Look at other options that may be less stressful.
18	11.19449902	294	9	I'm doing some work on my laptop.
19	5.22533679	299	11	Sorry, I don't understand what you're asking.
20	5.75032210	295	8	I just sent you a friend request.
21	42.91215587	296	7	Just read through the material thoroughly.
22	11.37339282	293	11	You know him. You think he's an idiot.
23	11.04722714	297	9	Think, be clear, and stay calm.
24	10.82935619	300	10	We sure hope they get the job, right?
25	2.54345179	296	8	Are you sure you want the first?
26	18.81679320	292	7	Be honest with yourself and others.
27	6.95932889	302	15	Not exactly sure what happened, but probably something to do with budget cuts.
28	41.78959155	291	9	I'm in Washington, D.C.
29	4.05629039	297	10	I have an idea that'll cheer u up!
30	0.80921531	298	17	Talk to your family about your financial problems, and figure out ways to solve them.
31	45.56879735	336	6	lily-oh-nine
32	0.73842239	291	12	Get to know a few of your partner's friends first.
