round	time	inputs	outputs	response
0	40.80081153	295	10	Keep the conversation simple and focus on the topic.
1	2.90074205	291	9	A great way to make life more enjoyable.
2	0.55651069	296	11	Giving each other room and respecting each other's opinions.
3	3.44635820	298	19	When you find yourself having to negotiate with others, consider how you would like to be treated.
4	6.94042110	293	12	You can see all of our locations by visiting our website.
5	11.75882459	299	6	I am in the brain.
6	10.50367808	296	11	Amazon, Zazzle, Gilt, or eBay
7	0.88003492	300	6	Stealing time to sleep.
8	1.50966358	312	8	Make an offer; bargain or accept.
9	14.20485806	290	7	How did you like the lecture?
10	3.13108420	293	13	Planning and setting up a party the day before or after.
11	2.06017160	293	17	You received a reward for your good behaviour. You may choose to keep the reward.
12	0.93774414	296	14	Improvise, be flexible, and engage in more challenging assignments.
13	24.77316093	294	22	If you’re going by car, you’ll arrive at your meeting room 15 minutes prior.
14	40.71768522	299	9	What are the benefits of netflix family?
15	0.45730281	299	8	Be clear on what you really want.
16	37.44949436	296	39	Get an excellent poker face, have a good relationship with a trusted confidant, and develop a relationship with the other party. Then be professional, be polite, and always stick to your guns.
17	16.72577524	307	10	Look at other options that may be less stressful.
18	10.32496381	294	9	I'm doing some work on my laptop.
19	4.19119692	299	11	Sorry, I don't understand what you're asking.
20	5.32238960	295	8	I just sent you a friend request.
21	40.14011788	296	7	Just read through the material thoroughly.
22	11.28887105	293	11	You know him. You think he's an idiot.
23	10.95155072	297	9	Think, be clear, and stay calm.
24	9.90265083	300	10	We sure hope they get the job, right?
25	2.04771781	296	8	Are you sure you want the first?
26	17.62980533	292	7	Be honest with yourself and others.
27	6.90008068	302	15	Not exactly sure what happened, but probably something to do with budget cuts.
28	39.29571414	291	9	I'm in Washington, D.C.
29	4.02211881	297	10	I have an idea that'll cheer u up!
30	0.80090570	298	17	Talk to your family about your financial problems, and figure out ways to solve them.
31	44.23453832	336	6	lily-oh-nine
32	0.60853481	291	12	Get to know a few of your partner's friends first.
33	41.34285259	295	25	Tell your spouse or partner what you need and expect. Do it in a way that doesn't set you up for failure.
34	41.73935461	302	6	I don't have it.
35	10.64788175	302	11	Ask him what he would like and act on it.
36	9.83669496	292	25	Check out our game if you want to give it a try. DA is a great way to make friends and have fun!
37	0.55430841	296	11	We're wired to be attracted to the wrong people.
38	39.56727314	292	13	You can become more persuasive by understanding the other person's perspective.
39	3.95027232	303	14	The key to negotiation is to be honest and clear from the start.
40	33.23271179	298	11	Let your landlord know you are ready to pay rent.
41	9.77807856	296	8	The following two options are both available:
42	10.39555383	327	45	Your trip is great and the connection is still working. The problem is the lack of bandwidth. We are doing fine here though and enjoying our holiday. Everything at home is good and our family is looking forward to seeing you.
43	40.04121113	295	7	I don't think I do.
44	40.72482872	303	6	Listen more than you speak.
45	2.82264161	299	17	You may not remember this, but you took my notebook home last time you visited.
46	1.37152672	294	3	A lot.
47	15.03940916	292	5	Nike, because...
48	42.32909060	295	17	If you can't find what you are looking for, come to me and ask.
49	0.68776369	300	11	Don't go to bed too late or too early.
50	0.49460673	298	7	Keep your head in the game.
51	40.20266676	297	12	I don't like to gossip about others' personal lives.
52	41.63822651	294	22	Keep a record of what has been discussed, and be prepared to walk out if an agreement is not reached.
53	40.47672582	288	9	how r u? can i help u?
54	9.69175148	291	8	Yes, I'm doing just fine.
55	40.29945278	290	5	We should be friends.
56	43.41650748	293	14	Pink roses, yellow roses, and red roses are the most popular.
57	44.02152538	300	6	Thank you for your business.
58	0.60736752	299	11	Make a guest list, plan, and be prepared.
59	1.46249866	291	4	New York City.
60	39.29675913	292	9	Making clear requests and sticking to your guns.
61	3.07526827	292	24	A thorough analysis of the situation, taking into account the other party’s needs and desires, will be critical.
62	41.89226580	292	8	How can I approach a new customer?
63	18.08761764	296	4	Have a backup.
64	44.87987399	307	30	I am very enthusiastic about the concept of Food Evening. I would love to involve more people and develop plans for them. Do you have any suggestions?
65	40.44094801	290	12	Just got back in, and I'm feeling tired already.
66	11.42188692	291	16	Don't get stuck in the past, keep the channel open for new opportunities.
67	1.10498929	301	8	Negotiate in a friendly manner.
68	42.35876155	297	9	I’m good thanks, yourself?
69	4.15961337	292	18	Being prepared, understanding the other person's interests, building and maintaining relationships, and listening.
70	1.78423882	303	34	Negotiation can only happen with good listening skills; if you have a good idea, it's always a good thing - even if you don't agree on every point.
71	1.67267179	296	8	How can I stop procrastinating?
72	42.01466703	303	15	How can I take time to relax and be a well-rounded person?
73	15.63178301	300	14	What? I just asked if you're going out after work tonight.
74	44.74230385	303	11	Kids means more responsibility, time, and maintenance costs.
75	41.46279335	295	10	Be optimistic, be careful, and be prepared.
76	6.13610196	306	15	Be prepared and be well-prepared when meeting a potential business partner.
77	44.89005256	298	6	Ask for what you want.
78	39.44784379	291	9	How would you like your brain to be?
79	42.67340422	297	8	How can I deal with stressful situations?
80	0.59385586	294	9	Don't be afraid to take a chance.
81	3.77986860	288	10	How can I meet lots of cool new people?
82	2.16662812	295	10	The Brain is the size of the tip of your
83	10.52500558	292	7	We are not interested in humans.
84	0.45985436	297	6	A book on time management.
85	42.27418399	294	19	Consider the features you need for your device, such as size, connectivity, and battery life.
86	42.18959832	297	10	Plan ahead and be open to the many possibilities.
87	20.84070706	292	4	I am working.
88	48.65720510	308	17	Make sure you have all the facts and figures on your side before entering a negotiation.
89	42.60666323	300	5	I'll be there.
90	14.59002304	296	17	Ask for what you're looking for, and make sure to have a backup plan.
91	15.56972599	292	11	Well...It's cold, and I'm hungry.
92	38.26535273	296	15	I'm fine. Is there anything else you'd like to talk about?
93	1.38094687	298	17	No, I am not in Asda. I sell software services to other businesses.
94	42.03644371	299	12	Have the right tools, prepare, negotiate, and listen.
95	0.45797896	301	8	Pick a day and see it through.
96	9.61112404	293	29	I know you have a job to do, so I won’t hold it against you if you can’t answer my question.
97	43.23967218	296	9	Never... well, except the old ways.
98	41.56688380	297	18	Negotiation is a part of every day life, and requires patience and a positive attitude.
99	25.27259564	295	13	What was it exactly? I will need time to process this.
100	42.43943810	301	10	It's not possible to skype with you.
101	41.66479254	291	7	Taking a business approach to negotiation.
102	42.35661697	299	5	3:30AM.
103	41.85097384	295	8	I did. I saw a mouse.
104	40.41223907	287	8	A strong sense of self-awareness.
105	0.73229885	301	14	You're going to be spending a lot of time with your family.
106	1.23536110	290	12	Ask for exactly what you need in the most polite manner.
107	41.95298386	291	15	I'm working, but I'd like you to relax with a friend.
108	40.14832115	292	15	[  No, I don't know anything about going swimming, I'll
109	0.72954941	302	14	No way. You're the one who voted for this fucking guy.
110	9.19759393	297	5	You're so high.
111	22.42453289	296	12	School counselors are responsible for the safety of the whole school.
112	3.49162841	290	29	You should be nice, friendly, and open to all sorts of different viewpoints. To get the most out of this, be a good listener.
113	43.03569031	297	8	A cake, card, and present.
114	8.59441066	294	3	i'm bored
115	9.87266493	294	18	Cleaning the house is something that should be done, regardless of how busy one is.
116	44.32966948	305	5	I'm up for it
117	41.55352283	292	11	Being honest, being prepared, and showing good manners.
118	0.90498877	296	20	I don't want to be rude. I know that all of you live in the same neighborhood.
119	22.51107168	294	11	I am Sandra Donovan from BRAIN-Tec.
120	10.69134259	299	3	Can't go
121	10.58201003	298	27	That's very kind. This is Dr. Brain. I'm your host, and I'm here to give you a little help.
122	22.51604605	295	23	I'm really sorry to hear that, but I hope the rest of your day is less hectic than today.
123	2.49820590	292	12	Be patient. It's a skill that can be learned.
124	40.73529530	291	9	Taking a personal approach and being assertive.
125	18.74367428	288	1	Hey
126	0.72737694	298	14	Being passionate, having a plan, and always having an exit strategy.
127	40.34204316	294	11	Go if you have a good attitude and enjoy yourself.
128	43.25317669	299	8	I think that should be a priority.
129	0.38142633	293	6	Plan ahead and be prepared.
130	8.41147256	295	212	If it's worth it, put in the effort. I think the best thing to do in this situation is to not only take a deep breath, but also be ready and willing to walk away from the audition if you're not comfortable with the process. And this would be especially true if you're auditioning in front of someone you find intimidating or not very familiar with. I've been told by an auditioner that this is the most difficult part of the audition process for him. The other advice I would give here is to treat yourself the way you would want to be treated. If you feel nervous or intimidated, don't allow it to dictate your actions. Go in and do your best, no matter how bad it is. If it improves, great. If it doesn't, don't get too down on yourself. I have a friend who, if her first audition didn't go well, would get in her car and drive off crying. You can imagine how that would end up for her on the side of the highway or in a ditch.
131	11.32706571	295	9	Spending quality time with friends and family.
132	0.28909850	288	4	Are you okay?
133	4.35136652	298	29	We suggest starting with the customer by saying something like, “Welcome to Brain Doctors. I’m pleased to meet you.”
134	40.35352492	301	15	We will start next week, so I have not set the slot yet.
135	14.96007562	297	13	No. When we have, I'll get back to you.
136	43.52079248	305	16	Please leave a message or call if there is anything we can help you with.
137	0.49925828	299	9	Thank you. Your reward will be soon.
138	17.11318994	294	9	Follow up to any follow-up questions.
139	5.02554417	292	6	Take a break and relax.
140	3.90205240	293	6	Wake up on time.
141	3.93396497	292	13	Avoiding confrontations and accepting constructive criticism can improve team communication.
142	31.18314099	294	15	Yeah, this is the BRAIN. How can I solve your problem?
143	40.42591262	296	14	Do you see the difference between "dog" and "walked"?
144	17.15999675	297	11	What are some ways we might be able to communicate?
145	7.92520070	292	7	I am having a great day!
146	26.82957196	300	3	Sounds good!
147	40.67817903	295	5	Why do you ask?
148	0.61286712	289	12	Make sure you are comfortable with yourself before asking for anything.
149	1.11426020	297	10	Visit http://www.braincafe.it
150	0.76633739	298	5	We will be here.
151	40.06652045	292	13	I don't know... but I do know that we're working
152	0.61749148	325	11	Sorry, we have closed the call. Thank you.
